127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001417
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.000922
127.0.0.1, 2015-11-22 17:28:13, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000771
127.0.0.1, 2015-11-22 17:28:14, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.000752
127.0.0.1, 2015-11-22 17:28:14, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.000879
127.0.0.1, 2015-11-22 17:28:14, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000587
127.0.0.1, 2015-11-22 17:33:36, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.084036
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002264
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001254
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.001924
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004604
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002984
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.004047
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000547
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000898
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000666
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001247
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000552
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000414
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.000464
127.0.0.1, 2015-11-22 17:33:36, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000412
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.001056
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.000681
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001950
127.0.0.1, 2015-11-22 17:33:37, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.034185
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001473
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001217
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.003369
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001281
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004684
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004283
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.002095
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003346
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001030
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001013
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001587
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.003345
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001636
127.0.0.1, 2015-11-22 17:33:37, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000878
127.0.0.1, 2015-11-22 17:33:38, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.001267
127.0.0.1, 2015-11-22 17:33:38, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001111
127.0.0.1, 2015-11-22 17:33:38, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.001142
127.0.0.1, 2015-11-22 17:33:39, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.045732
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.000655
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001918
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003769
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.006432
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.004778
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000811
